PPP,Turns,Adv,GoalVis%,StartVis%,VisMag,Obstacle Use,Unreachable Cells,OpenW,OpenH,AvgOpenW,AvgOpenH,VisWeighted,Omniscient A* Bot,WallFollower [l],WallFollower [r],Explorer,Random Bot,Explorer [Limited Memory: 5x5],Explorer [Noise: 0.10],Long Term Explorer,Bumper,Decision Bumper
PPP38.ppp,1,38,0.57,0.60,1.39,0.36,0,40,20,0.80,0.81,10.73,100.00,100.00,100.00,96.70,3.40,14.40,83.50,100.00,96.50,100.00
PPP39.ppp,2,38,0.45,0.66,1.41,0.30,0,40,20,0.84,0.79,8.42,100.00,88.60,100.00,83.90,0.00,17.80,64.10,98.70,80.90,90.90
PPP40.ppp,4,38,0.37,0.28,0.47,1.00,0,40,19,0.65,0.52,3.69,100.00,100.00,0.00,51.20,0.20,12.90,37.60,96.60,0.00,0.00
PPP41.ppp,4,38,0.18,0.30,1.06,0.58,0,40,20,0.84,0.63,6.29,100.00,100.00,99.60,56.30,0.50,7.20,52.70,83.40,93.00,96.40
PPP42.ppp,3,38,0.26,0.44,0.55,1.02,6,40,18,0.70,0.47,3.88,100.00,100.00,0.00,78.70,3.20,11.90,75.50,93.10,45.50,40.40
PPP43.ppp,2,38,0.50,0.60,0.93,0.56,0,40,20,0.83,0.60,6.45,100.00,0.00,100.00,93.40,3.10,23.50,84.20,100.00,62.90,62.10
PPP44.ppp,2,38,0.68,0.80,1.54,0.32,0,40,20,0.87,0.78,9.49,100.00,100.00,100.00,89.90,4.40,17.50,80.50,100.00,94.40,100.00
PPP45.ppp,2,38,0.76,0.87,1.69,0.24,0,40,20,0.87,0.79,10.08,100.00,100.00,100.00,72.70,3.30,12.80,71.90,99.70,89.80,95.60
PPP46.ppp,6,38,0.05,0.24,0.66,1.00,0,40,18,0.64,0.48,3.57,100.00,48.40,0.00,28.60,0.00,14.40,19.60,41.10,51.60,66.30
PPP47.ppp,2,38,0.64,0.15,1.01,0.62,8,40,20,0.67,0.62,6.20,100.00,0.00,100.00,93.10,2.20,29.70,79.10,99.90,100.00,100.00
PPP48.ppp,2,38,0.70,0.66,1.47,0.32,0,40,20,0.80,0.77,9.15,100.00,100.00,100.00,78.90,4.10,4.70,72.80,100.00,94.10,99.80
PPP49.ppp,4,38,0.23,0.29,0.99,0.66,2,38,20,0.68,0.64,5.87,100.00,100.00,100.00,69.00,1.60,2.60,45.90,80.20,0.00,0.00
PPP50.ppp,2,38,0.42,0.54,0.99,0.62,8,40,20,0.63,0.62,6.07,100.00,0.00,100.00,77.40,2.20,24.00,73.30,95.60,97.10,99.30
PPP51.ppp,2,38,0.49,0.83,1.58,0.38,0,40,20,0.84,0.76,9.02,100.00,74.00,100.00,78.60,0.00,28.60,70.50,99.50,78.80,84.50
PPP52.ppp,2,38,0.65,0.47,1.34,0.40,0,40,20,0.85,0.61,8.29,100.00,100.00,100.00,99.80,2.20,21.30,78.90,100.00,24.50,19.90
PPP53.ppp,2,38,0.45,0.67,1.25,0.34,0,40,20,0.83,0.73,7.89,100.00,100.00,100.00,91.70,2.50,17.20,75.40,95.10,91.90,95.90
PPP54.ppp,2,38,0.58,0.80,1.52,0.30,0,40,20,0.85,0.74,9.17,100.00,100.00,100.00,97.10,2.80,16.00,77.20,100.00,79.20,92.10
PPP55.ppp,2,38,0.19,0.29,0.62,1.06,294,40,20,0.55,0.59,3.78,100.00,99.50,100.00,92.90,1.60,20.30,83.80,100.00,97.80,100.00
PPP56.ppp,2,38,0.49,0.66,1.21,0.36,0,40,20,0.86,0.71,7.86,100.00,100.00,100.00,86.10,3.40,18.20,80.10,99.70,89.70,84.70
PPP57.ppp,2,38,0.15,0.25,0.60,1.00,0,40,20,0.57,0.55,3.70,100.00,48.80,0.00,72.70,0.00,9.40,63.10,93.00,47.90,46.60
PPP58.ppp,2,38,0.36,0.73,1.56,0.36,0,40,20,0.83,0.71,8.65,100.00,86.70,100.00,82.10,0.00,27.70,69.10,98.90,83.00,94.00
PPP59.ppp,2,38,0.63,0.62,1.54,0.28,0,40,20,0.84,0.79,9.30,100.00,100.00,100.00,95.70,2.50,21.00,80.00,100.00,98.80,100.00
PPP62.ppp,4,38,0.44,0.21,0.80,0.72,0,34,20,0.64,0.58,5.43,100.00,0.00,100.00,78.20,0.00,9.50,66.90,98.70,0.00,0.00
